1,0,0
1,0,0.0125
1,0,0.025
1,0,0.0375
1,0,0.05
1,0,0.0625
1,0,0.075
1,0,0.0875
1,0,0.1
1,0,0.1125
1,0,0.125
1,0,0.1375
1,0,0.15
1,0,0.1625
1,0,0.175
1,0,0.1875
1,0,0.2
1,0,0.2125
1,0,0.225
1,0,0.2375
1,0,0.25
1,0,0.2625
1,0,0.275
1,0,0.2875
1,0,0.3
1,0,0.3125
1,0,0.325
1,0,0.3375
1,0,0.35
1,0,0.3625
1,0,0.375
1,0,0.3875
1,0,0.4
1,0,0.4125
1,0,0.425
1,0,0.4375
1,0,0.45
1,0,0.4625
1,0,0.475
1,0,0.4875
1,0.075,0
1,0.075,0.0125
1,0.075,0.025
1,0.075,0.0375
1,0.075,0.05
1,0.075,0.0625
1,0.075,0.075
1,0.075,0.0875
1,0.075,0.1
1,0.075,0.1125
1,0.075,0.125
1,0.075,0.1375
1,0.075,0.15
1,0.075,0.1625
1,0.075,0.175
1,0.075,0.1875
1,0.075,0.2
1,0.075,0.2125
1,0.075,0.225
1,0.075,0.2375
1,0.075,0.25
1,0.075,0.2625
1,0.075,0.275
1,0.075,0.2875
1,0.075,0.3
1,0.075,0.3125
1,0.075,0.325
1,0.075,0.3375
1,0.075,0.35
1,0.075,0.3625
1,0.075,0.375
1,0.075,0.3875
1,0.075,0.4
1,0.075,0.4125
1,0.075,0.425
1,0.075,0.4375
1,0.075,0.45
1,0.075,0.4625
1,0.075,0.475
1,0.075,0.4875
1,0.15,0
1,0.15,0.0125
1,0.15,0.025
1,0.15,0.0375
1,0.15,0.05
1,0.15,0.0625
1,0.15,0.075
1,0.15,0.0875
1,0.15,0.1
1,0.15,0.1125
1,0.15,0.125
1,0.15,0.1375
1,0.15,0.15
1,0.15,0.1625
1,0.15,0.175
1,0.15,0.1875
1,0.15,0.2
1,0.15,0.2125
1,0.15,0.225
1,0.15,0.2375
1,0.15,0.25
1,0.15,0.2625
1,0.15,0.275
1,0.15,0.2875
1,0.15,0.3
1,0.15,0.3125
1,0.15,0.325
1,0.15,0.3375
1,0.15,0.35
1,0.15,0.3625
1,0.15,0.375
1,0.15,0.3875
1,0.15,0.4
1,0.15,0.4125
1,0.15,0.425
1,0.15,0.4375
1,0.15,0.45
1,0.15,0.4625
1,0.15,0.475
1,0.15,0.4875
1,0.225,0
1,0.225,0.0125
1,0.225,0.025
1,0.225,0.0375
